# Colored 3D Spiral
# Switches colors every 50 points
# Total points: 500
# Colors cycle through: red -> blue -> green -> yellow -> magenta -> cyan

pc -0.286287 6.450000 -2.986309 green
pc 0.013277 6.500000 -2.999971 green
pc 0.312708 6.550000 -2.983658 green
pc 0.609015 6.600000 -2.937533 green
pc 0.899236 6.650000 -2.862058 green
pc 1.180473 6.700000 -2.757986 green
pc 1.449914 6.750000 -2.626357 green
pc 1.704869 6.800000 -2.468486 green
pc 1.942789 6.850000 -2.285951 green
pc 2.161297 6.900000 -2.080575 green
pc 2.358211 6.950000 -1.854411 green
pc 2.531562 7.000000 -1.609719 green
pc 2.679618 7.050000 -1.348942 green
pc 2.800901 7.100000 -1.074688 green
pc 2.894198 7.150000 -0.789695 green
pc 2.958577 7.200000 -0.496813 green
pc 2.993395 7.250000 -0.198966 green
pc 2.998304 7.300000 0.100869 green
pc 2.973255 7.350000 0.399696 green
pc 2.918498 7.400000 0.694529 green
pc 2.834580 7.450000 0.982423 green
pc 2.722340 7.500000 1.260501 green
pc 2.582900 7.550000 1.525984 green
pc 2.417652 7.600000 1.776221 green
pc 2.228248 7.650000 2.008709 green
pc 2.016579 7.700000 2.221128 green
pc 1.784762 7.750000 2.411353 green
pc 1.535112 7.800000 2.577485 green
pc 1.270124 7.850000 2.717864 green
pc 0.992445 7.900000 2.831087 green
pc 0.704849 7.950000 2.916023 green
pc 0.410212 8.000000 2.971822 green
pc 0.111475 8.050000 2.997928 green
pc -0.188375 8.100000 2.994080 green
pc -0.486343 8.150000 2.960316 green
pc -0.779452 8.200000 2.896973 green
pc -1.064773 8.250000 2.804685 green
pc -1.339455 8.300000 2.684374 green
pc -1.600753 8.350000 2.537240 green
pc -1.846057 8.400000 2.364756 green
pc -2.072917 8.450000 2.168644 green
pc -2.279064 8.500000 1.950864 yellow
pc -2.462439 8.550000 1.713591 yellow
pc -2.621211 8.600000 1.459196 yellow
pc -2.753792 8.650000 1.190222 yellow
pc -2.858859 8.700000 0.909355 yellow
pc -2.935360 8.750000 0.619402 yellow
pc -2.982533 8.800000 0.323261 yellow
pc -2.999905 8.850000 0.023890 yellow
pc -2.987303 8.900000 -0.275721 yellow
pc -2.944853 8.950000 -0.572576 yellow
pc -2.872978 9.000000 -0.863710 yellow
pc -2.772398 9.050000 -1.146214 yellow
pc -2.644117 9.100000 -1.417266 yellow
pc -2.489417 9.150000 -1.674157 yellow
pc -2.309844 9.200000 -1.914320 yellow
pc -2.107191 9.250000 -2.135356 yellow
pc -1.883484 9.300000 -2.335056 yellow
pc -1.640958 9.350000 -2.511425 yellow
pc -1.382036 9.400000 -2.662701 yellow
pc -1.109305 9.450000 -2.787372 yellow
pc -0.825490 9.500000 -2.884192 yellow
pc -0.533427 9.550000 -2.952195 yellow
pc -0.236035 9.600000 -2.990700 yellow
pc 0.063716 9.650000 -2.999323 yellow
pc 0.362831 9.700000 -2.977978 yellow
pc 0.658320 9.750000 -2.926878 yellow
pc 0.947231 9.800000 -2.846533 yellow
pc 1.226678 9.850000 -2.737747 yellow
pc 1.493869 9.900000 -2.601607 yellow
pc 1.746133 9.950000 -2.439471 yellow
pc 1.980950 10.000000 -2.252962 yellow
pc 2.195974 10.050000 -2.043941 yellow
pc 2.389057 10.100000 -1.814498 yellow
pc 2.558270 10.150000 -1.566926 yellow
pc 2.701921 10.200000 -1.303697 yellow
pc 2.818575 10.250000 -1.027442 yellow
pc 2.907067 10.300000 -0.740921 yellow
pc 2.966512 10.350000 -0.446997 yellow
pc 2.996317 10.400000 -0.148607 yellow
pc 2.996184 10.450000 0.151268 yellow
pc 2.966114 10.500000 0.449632 yellow
pc 2.906407 10.550000 0.743503 yellow
pc 2.817661 10.600000 1.029945 yellow
pc 2.700762 10.650000 1.306096 yellow
pc 2.556877 10.700000 1.569197 yellow
pc 2.387445 10.750000 1.816620 yellow
pc 2.194158 10.800000 2.045891 yellow
pc 1.978948 10.850000 2.254720 yellow
pc 1.743965 10.900000 2.441021 yellow
pc 1.491557 10.950000 2.602932 yellow
pc 1.224246 11.000000 2.738836 magenta
pc 0.944703 11.050000 2.847374 magenta
pc 0.655720 11.100000 2.927462 magenta
pc 0.360186 11.150000 2.978299 magenta
pc 0.061053 11.200000 2.999379 magenta
pc -0.238691 11.250000 2.990489 magenta
pc -0.536049 11.300000 2.951720 magenta
pc -0.828051 11.350000 2.883458 magenta
pc -1.111780 11.400000 2.786386 magenta
pc -1.384400 11.450000 2.661473 magenta
pc -1.643188 11.500000 2.509967 magenta
pc -1.885557 11.550000 2.333382 magenta
pc -2.109087 11.600000 2.133484 magenta
pc -2.311543 11.650000 1.912268 magenta
pc -2.490903 11.700000 1.671945 magenta
pc -2.645375 11.750000 1.414917 magenta
pc -2.773415 11.800000 1.143751 magenta
pc -2.873744 11.850000 0.861158 magenta
pc -2.945360 11.900000 0.569960 magenta
pc -2.987547 11.950000 0.273067 magenta
pc -2.999882 12.000000 -0.026554 magenta
pc -2.982245 12.050000 -0.325910 magenta
pc -2.934809 12.100000 -0.622009 magenta
pc -2.858050 12.150000 -0.911894 magenta
pc -2.752734 12.200000 -1.192667 magenta
pc -2.619914 12.250000 -1.461524 magenta
pc -2.460916 12.300000 -1.715777 magenta
pc -2.277330 12.350000 -1.952887 magenta
pc -2.070990 12.400000 -2.170484 magenta
pc -1.843956 12.450000 -2.366395 magenta
pc -1.598499 12.500000 -2.538661 magenta
pc -1.337070 12.550000 -2.685562 magenta
pc -1.062281 12.600000 -2.805630 magenta
pc -0.776879 12.650000 -2.897664 magenta
pc -0.483714 12.700000 -2.960747 magenta
pc -0.185716 12.750000 -2.994246 magenta
pc 0.114138 12.800000 -2.997828 magenta
pc 0.412851 12.850000 -2.971457 magenta
pc 0.707439 12.900000 -2.915395 magenta
pc 0.994959 12.950000 -2.830204 magenta
pc 1.272537 13.000000 -2.716735 magenta
pc 1.537401 13.050000 -2.576121 magenta
pc 1.786903 13.100000 -2.409767 magenta
pc 2.018551 13.150000 -2.219336 magenta
pc 2.230031 13.200000 -2.006729 magenta
pc 2.419228 13.250000 -1.774073 magenta
pc 2.584254 13.300000 -1.523690 magenta
pc 2.723459 13.350000 -1.258083 magenta
pc 2.835452 13.400000 -0.979905 magenta
pc 2.919113 13.450000 -0.691937 magenta
pc 2.973608 13.500000 -0.397055 cyan
pc 2.998392 13.550000 -0.098206 cyan
pc 2.993217 13.600000 0.201624 cyan
pc 2.958134 13.650000 0.499440 cyan
pc 2.893495 13.700000 0.792266 cyan
pc 2.799945 13.750000 1.077175 cyan
pc 2.678419 13.800000 1.351322 cyan
pc 2.530131 13.850000 1.611967 cyan
pc 2.356563 13.900000 1.856505 cyan
pc 2.159449 13.950000 2.082494 cyan
pc 1.940758 14.000000 2.287675 cyan
pc 1.702676 14.050000 2.469999 cyan
pc 1.447581 14.100000 2.627643 cyan
pc 1.178023 14.150000 2.759033 cyan
pc 0.896694 14.200000 2.862855 cyan
pc 0.606405 14.250000 2.938073 cyan
pc 0.310058 14.300000 2.983934 cyan
pc 0.010613 14.350000 2.999981 cyan
pc -0.288939 14.400000 2.986053 cyan
pc -0.585603 14.450000 2.942290 cyan
pc -0.876416 14.500000 2.869128 cyan
pc -1.158473 14.550000 2.767298 cyan
pc -1.428954 14.600000 2.637819 cyan
pc -1.685158 14.650000 2.481984 cyan
pc -1.924524 14.700000 2.301349 cyan
pc -2.144661 14.750000 2.097720 cyan
pc -2.343369 14.800000 1.873131 cyan
pc -2.518663 14.850000 1.629827 cyan
pc -2.668791 14.900000 1.370238 cyan
pc -2.792254 14.950000 1.096958 cyan
pc -2.887818 15.000000 0.812717 cyan
pc -2.954527 15.050000 0.520356 cyan
pc -2.991716 15.100000 0.222796 cyan
pc -2.999012 15.150000 -0.076990 cyan
pc -2.976343 15.200000 -0.376007 cyan
pc -2.923936 15.250000 -0.671267 cyan
pc -2.842313 15.300000 -0.959820 cyan
pc -2.732292 15.350000 -1.238783 cyan
pc -2.594970 15.400000 -1.505368 cyan
pc -2.431720 15.450000 -1.756912 cyan
pc -2.244173 15.500000 -1.990902 cyan
pc -2.034203 15.550000 -2.204999 cyan
pc -1.803907 15.600000 -2.397064 cyan
pc -1.555588 15.650000 -2.565179 cyan
pc -1.291726 15.700000 -2.707664 cyan
pc -1.014958 15.750000 -2.823094 cyan
pc -0.728048 15.800000 -2.910317 cyan
pc -0.433864 15.850000 -2.968461 cyan
pc -0.135345 15.900000 -2.996945 cyan
pc 0.164527 15.950000 -2.995485 cyan
pc 0.462754 16.000000 -2.964095 red
pc 0.756358 16.050000 -2.903088 red
pc 1.042405 16.100000 -2.813075 red
pc 1.318036 16.150000 -2.694955 red
pc 1.580498 16.200000 -2.549907 red
pc 1.827168 16.250000 -2.379382 red
pc 2.055582 16.300000 -2.185082 red
pc 2.263456 16.350000 -1.968950 red
pc 2.448716 16.400000 -1.733145 red
pc 2.609508 16.450000 -1.480023 red
pc 2.744227 16.500000 -1.212113 red
pc 2.851527 16.550000 -0.932092 red
pc 2.930335 16.600000 -0.642758 red
pc 2.979864 16.650000 -0.347001 red
pc 2.999620 16.700000 -0.047778 red
pc 2.989404 16.750000 0.251923 red
pc 2.949319 16.800000 0.549107 red
pc 2.879765 16.850000 0.840805 red
pc 2.781438 16.900000 1.124101 red
pc 2.655320 16.950000 1.396165 red
pc 2.502670 17.000000 1.654280 red
pc 2.325015 17.050000 1.895866 red
pc 2.124129 17.100000 2.118508 red
pc 1.902019 17.150000 2.319984 red
pc 1.660905 17.200000 2.498278 red
pc 1.403196 17.250000 2.651611 red
pc 1.131466 17.300000 2.778450 red
pc 0.848431 17.350000 2.877527 red
pc 0.556919 17.400000 2.947854 red
pc 0.259843 17.450000 2.988726 red
pc -0.039830 17.500000 2.999736 red
pc -0.339105 17.550000 2.980773 red
pc -0.634992 17.600000 2.932028 red
pc -0.924534 17.650000 2.853986 red
pc -1.204838 17.700000 2.747429 red
pc -1.473104 17.750000 2.613420 red
pc -1.726651 17.800000 2.453299 red
pc -1.962947 17.850000 2.268665 red
pc -2.179629 17.900000 2.061363 red
pc -2.374532 17.950000 1.833465 red
pc -2.545711 18.000000 1.587248 red
pc -2.691453 18.050000 1.325171 red
pc -2.810304 18.100000 1.049854 red
pc -2.901074 18.150000 0.764047 red
pc -2.962858 18.200000 0.470606 red
pc -2.995039 18.250000 0.172462 red
pc -2.997293 18.300000 -0.127404 red
pc -2.969600 18.350000 -0.425998 red
pc -2.912236 18.400000 -0.720335 red
pc -2.825773 18.450000 -1.007475 red
pc -2.711077 18.500000 -1.284548 blue
pc -2.569292 18.550000 -1.548787 blue
pc -2.401835 18.600000 -1.797550 blue
pc -2.210381 18.650000 -2.028354 blue
pc -1.996840 18.700000 -2.238890 blue
pc -1.763348 18.750000 -2.427056 blue
pc -1.512238 18.800000 -2.590972 blue
pc -1.246017 18.850000 -2.729000 blue
pc -0.967347 18.900000 -2.839761 blue
pc -0.679011 18.950000 -2.922147 blue
pc -0.383891 19.000000 -2.975337 blue
pc -0.084935 19.050000 -2.998797 blue
pc 0.214869 19.100000 -2.992295 blue
pc 0.512527 19.150000 -2.955895 blue
pc 0.805064 19.200000 -2.889961 blue
pc 1.089556 19.250000 -2.795151 blue
pc 1.363162 19.300000 -2.672412 blue
pc 1.623148 19.350000 -2.522972 blue
pc 1.866916 19.400000 -2.348324 blue
pc 2.092031 19.450000 -2.150211 blue
pc 2.296242 19.500000 -1.930614 blue
pc 2.477510 19.550000 -1.691728 blue
pc 2.634024 19.600000 -1.435938 blue
pc 2.764219 19.650000 -1.165800 blue
pc 2.866796 19.700000 -0.884015 blue
pc 2.940728 19.750000 -0.593396 blue
pc 2.985277 19.800000 -0.296849 blue
pc 2.999999 19.850000 0.002664 blue
pc 2.984745 19.900000 0.302151 blue
pc 2.939669 19.950000 0.598619 blue
pc 2.865221 20.000000 0.889106 blue
pc 2.762144 20.050000 1.170709 blue
pc 2.631469 20.100000 1.440614 blue
pc 2.474501 20.150000 1.696126 blue
pc 2.292809 20.200000 1.934690 blue
pc 2.088208 20.250000 2.153924 blue
pc 1.862742 20.300000 2.351636 blue
pc 1.618664 20.350000 2.525852 blue
pc 1.358413 20.400000 2.674830 blue
pc 1.084589 20.450000 2.797082 blue
pc 0.799929 20.500000 2.891386 blue
pc 0.507276 20.550000 2.956801 blue
pc 0.209554 20.600000 2.992672 blue
pc -0.090262 20.650000 2.998642 blue
pc -0.389176 20.700000 2.974650 blue
pc -0.684201 20.750000 2.920936 blue
pc -0.972390 20.800000 2.838038 blue
pc -1.250863 20.850000 2.726782 blue
pc -1.516838 20.900000 2.588282 blue
pc -1.767657 20.950000 2.423920 blue
pc -2.000814 21.000000 2.235339 green
pc -2.213980 21.050000 2.024424 green
pc -2.405025 21.100000 1.793281 green
pc -2.572039 21.150000 1.544220 green
pc -2.713354 21.200000 1.279730 green
pc -2.827558 21.250000 1.002454 green
pc -2.913511 21.300000 0.715161 green
pc -2.970352 21.350000 0.420722 green
pc -2.997515 21.400000 0.122080 green
pc -2.994728 21.450000 -0.177782 green
pc -2.962018 21.500000 -0.475868 green
pc -2.899713 21.550000 -0.769199 green
pc -2.808434 21.600000 -1.054844 green
pc -2.689095 21.650000 -1.329950 green
pc -2.542887 21.700000 -1.591768 green
pc -2.371272 21.750000 -1.837680 green
pc -2.175964 21.800000 -2.065232 green
pc -1.958914 21.850000 -2.272148 green
pc -1.722291 21.900000 -2.456362 green
pc -1.468460 21.950000 -2.616033 green
pc -1.199956 22.000000 -2.749565 green
pc -0.919463 22.050000 -2.855624 green
pc -0.629783 22.100000 -2.933151 green
pc -0.333810 22.150000 -2.981371 green
pc -0.034502 22.200000 -2.999802 green
pc 0.265151 22.250000 -2.988260 green
pc 0.562155 22.300000 -2.946860 green
pc 0.853541 22.350000 -2.876016 green
pc 1.136400 22.400000 -2.776436 green
pc 1.407903 22.450000 -2.649115 green
pc 1.665340 22.500000 -2.495324 green
pc 1.906137 22.550000 -2.316601 green
pc 2.127888 22.600000 -2.114732 green
pc 2.328379 22.650000 -1.891733 green
pc 2.505605 22.700000 -1.649832 green
pc 2.657795 22.750000 -1.391447 green
pc 2.783430 22.800000 -1.119158 green
pc 2.881254 22.850000 -0.835688 green
pc 2.950290 22.900000 -0.543867 green
pc 2.989847 22.950000 -0.246613 green
pc 2.999530 23.000000 0.053106 green
pc 2.979243 23.050000 0.352294 green
pc 2.929189 23.100000 0.647962 green
pc 2.849867 23.150000 0.937156 green
pc 2.742070 23.200000 1.216986 green
pc 2.606875 23.250000 1.484656 green
pc 2.445633 23.300000 1.737492 green
pc 2.259955 23.350000 1.972968 green
pc 2.051697 23.400000 2.188730 green
pc 1.822939 23.450000 2.382624 green
pc 1.575966 23.500000 2.552711 yellow
pc 1.313247 23.550000 2.697292 yellow
pc 1.037406 23.600000 2.814922 yellow
pc 0.751200 23.650000 2.904427 yellow
pc 0.457488 23.700000 2.964912 yellow
pc 0.159206 23.750000 2.995773 yellow
pc -0.140668 23.800000 2.996700 yellow
pc -0.439136 23.850000 2.967686 yellow
pc -0.733216 23.900000 2.909019 yellow
pc -1.019971 23.950000 2.821287 yellow
pc -1.296534 24.000000 2.705365 yellow
pc -1.560142 24.050000 2.562412 yellow
pc -1.808163 24.100000 2.393856 yellow
pc -2.038116 24.150000 2.201382 yellow
pc -2.247706 24.200000 1.986912 yellow
pc -2.434837 24.250000 1.752590 yellow
pc -2.597640 24.300000 1.500756 yellow
pc -2.734488 24.350000 1.233927 yellow
pc -2.844014 24.400000 0.954770 yellow
pc -2.925124 24.450000 0.666072 yellow
pc -2.977006 24.500000 0.370719 yellow
pc -2.999144 24.550000 0.071663 yellow
pc -2.991315 24.600000 -0.228110 yellow
pc -2.953598 24.650000 -0.525604 yellow
pc -2.886369 24.700000 -0.817846 yellow
pc -2.790301 24.750000 -1.101916 yellow
pc -2.666353 24.800000 -1.374976 yellow
pc -2.515764 24.850000 -1.634298 yellow
pc -2.340038 24.900000 -1.877291 yellow
pc -2.140931 24.950000 -2.101526 yellow
pc -1.920433 25.000000 -2.304764 yellow
pc -1.680746 25.050000 -2.484973 yellow
pc -1.424266 25.100000 -2.640353 yellow
pc -1.153555 25.150000 -2.769352 yellow
pc -0.871319 25.200000 -2.870680 yellow
pc -0.580376 25.250000 -2.943325 yellow
pc -0.283634 25.300000 -2.986562 yellow
pc 0.015942 25.350000 -2.999958 yellow
pc 0.315358 25.400000 -2.983379 yellow
pc 0.611623 25.450000 -2.936991 yellow
pc 0.901778 25.500000 -2.861258 yellow
pc 1.182922 25.550000 -2.756936 yellow
pc 1.452246 25.600000 -2.625068 yellow
pc 1.707061 25.650000 -2.466971 yellow
pc 1.944819 25.700000 -2.284224 yellow
pc 2.163144 25.750000 -2.078655 yellow
pc 2.359857 25.800000 -1.852316 yellow
pc 2.532991 25.850000 -1.607470 yellow
pc 2.680815 25.900000 -1.346562 yellow
pc 2.801854 25.950000 -1.072200 yellow
