# Trefoil Knot - Mathematical knot in 3D space
# Generated with 400 points
# Parametric equations: x = sin(t) + 2*sin(2t), y = cos(t) - 2*cos(2t), z = -sin(3t)

p 1.833200 3.454778 4.805534
p 1.802715 3.566024 4.744880
p 1.769586 3.676985 4.682564
p 1.733835 3.787564 4.618724
p 1.695486 3.897664 4.553504
p 1.654567 4.007192 4.487049
p 1.611108 4.116051 4.419507
p 1.565142 4.224148 4.351029
p 1.516704 4.331392 4.281768
p 1.465833 4.437688 4.211878
p 1.412569 4.542948 4.141515
p 1.356955 4.647082 4.070837
p 1.299038 4.750000 4.000000
p 1.238867 4.851617 3.929163
p 1.176491 4.951846 3.858485
p 1.111966 5.050604 3.788122
p 1.045346 5.147809 3.718232
p 0.976689 5.243379 3.648971
p 0.906057 5.337235 3.580493
p 0.833512 5.429302 3.512951
p 0.759118 5.519502 3.446496
p 0.682942 5.607763 3.381276
p 0.605054 5.694014 3.317436
p 0.525523 5.778185 3.255120
p 0.444424 5.860209 3.194466
p 0.361829 5.940022 3.135609
p 0.277817 6.017561 3.078681
p 0.192464 6.092766 3.023809
p 0.105849 6.165579 2.971115
p 0.018055 6.235945 2.920717
p -0.070836 6.303810 2.872727
p -0.160741 6.369125 2.827253
p -0.251574 6.431842 2.784395
p -0.343249 6.491916 2.744250
p -0.435679 6.549305 2.706907
p -0.528775 6.603968 2.672450
p -0.622448 6.655870 2.640955
p -0.716608 6.704975 2.612492
p -0.811163 6.751253 2.587125
p -0.906022 6.794674 2.564911
p -1.001093 6.835215 2.545900
p -1.096283 6.872851 2.530133
p -1.191499 6.907563 2.517645
p -1.286647 6.939335 2.508466
p -1.381635 6.968151 2.502615
p -1.476368 6.994002 2.500105
p -1.570752 7.016878 2.500941
p -1.664694 7.036776 2.505123
p -1.758100 7.053692 2.512641
p -1.850877 7.067628 2.523477
p -1.942932 7.078588 2.537608
p -2.034173 7.086577 2.555002
p -2.124508 7.091605 2.575621
p -2.213845 7.093686 2.599418
p -2.302094 7.092834 2.626340
p -2.389164 7.089068 2.656327
p -2.474968 7.082409 2.689313
p -2.559416 7.072880 2.725223
p -2.642423 7.060509 2.763978
p -2.723903 7.045325 2.805491
p -2.803770 7.027360 2.849669
p -2.881943 7.006649 2.896414
p -2.958338 6.983231 2.945622
p -3.032877 6.957144 2.997182
p -3.105480 6.928432 3.050980
p -3.176071 6.897140 3.106896
p -3.244573 6.863316 3.164804
p -3.310915 6.827011 3.224576
p -3.375023 6.788276 3.286079
p -3.436829 6.747167 3.349174
p -3.496265 6.703741 3.413722
p -3.553265 6.658057 3.479578
p -3.607766 6.610177 3.546595
p -3.659707 6.560165 3.614624
p -3.709030 6.508085 3.683513
p -3.755677 6.454006 3.753108
p -3.799594 6.397996 3.823254
p -3.840731 6.340128 3.893794
p -3.879037 6.280474 3.964572
p -3.914467 6.219108 4.035428
p -3.946976 6.156106 4.106206
p -3.976523 6.091547 4.176746
p -4.003070 6.025509 4.246892
p -4.026580 5.958071 4.316487
p -4.047021 5.889317 4.385376
p -4.064363 5.819328 4.453405
p -4.078578 5.748189 4.520422
p -4.089641 5.675983 4.586278
p -4.097531 5.602798 4.650826
p -4.102229 5.528718 4.713921
p -4.103721 5.453831 4.775424
p -4.101991 5.378225 4.835196
p -4.097032 5.301988 4.893104
p -4.088837 5.225209 4.949020
p -4.077400 5.147977 5.002818
p -4.062723 5.070381 5.054378
p -4.044806 4.992511 5.103586
p -4.023656 4.914456 5.150331
p -3.999280 4.836306 5.194509
p -3.971690 4.758151 5.236022
p -3.940900 4.680079 5.274777
p -3.906928 4.602180 5.310687
p -3.869794 4.524543 5.343673
p -3.829520 4.447254 5.373660
p -3.786133 4.370403 5.400582
p -3.739663 4.294075 5.424379
p -3.690141 4.218357 5.444998
p -3.637601 4.143335 5.462392
p -3.582083 4.069092 5.476523
p -3.523625 3.995713 5.487359
p -3.462272 3.923279 5.494877
p -3.398069 3.851872 5.499059
p -3.331065 3.781571 5.499895
p -3.261312 3.712455 5.497385
p -3.188862 3.644602 5.491534
p -3.113773 3.578087 5.482355
p -3.036104 3.512983 5.469867
p -2.955915 3.449364 5.454100
p -2.873270 3.387301 5.435089
p -2.788236 3.326861 5.412875
p -2.700881 3.268113 5.387508
p -2.611275 3.211121 5.359045
p -2.519490 3.155949 5.327550
p -2.425602 3.102657 5.293093
p -2.329687 3.051304 5.255750
p -2.231824 3.001948 5.215605
p -2.132093 2.954643 5.172747
p -2.030576 2.909441 5.127273
p -1.927357 2.866391 5.079283
p -1.822522 2.825542 5.028885
p -1.716157 2.786939 4.976191
p -1.608351 2.750623 4.921319
p -1.499194 2.716635 4.864391
p -1.388777 2.685013 4.805534
p -1.277192 2.655791 4.744880
p -1.164532 2.629001 4.682564
p -1.050893 2.604673 4.618724
p -0.936368 2.582834 4.553504
p -0.821056 2.563507 4.487049
p -0.705051 2.546714 4.419507
p -0.588453 2.532473 4.351029
p -0.471359 2.520800 4.281768
p -0.353867 2.511707 4.211878
p -0.236077 2.505206 4.141515
p -0.118088 2.501302 4.070837
p -0.000000 2.500000 4.000000
